Scan_ID,Location,Run,ASUS,BBA-1028,CI3D,CI3D_5G,ConnLab,ConnLab-Guest,IB-9F,Library-Office,MUTEC,NTUST-PEAP,NTUST-UAM,RB501,ROOM-810_ç°æ§,TR-1021_5G,Yie & Esther,Yie Office,eduroam
5,LaptopPriority/CurrentPeriodicals,2,-100.0,-95.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.06666666666666,-74.57142857142857,-90.0,-100.0,-89.0,-100.0,-100.0,-80.94736842105263
5,LaptopPriority/CurrentPeriodicals,3,-73.0,-96.0,-100.0,-91.0,-100.0,-100.0,-90.0,-100.0,-100.0,-73.0,-73.625,-92.0,-90.0,-96.0,-89.0,-100.0,-74.93333333333334
5,LaptopPriority/CurrentPeriodicals,4,-100.0,-81.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.64285714285714,-72.53846153846153,-89.0,-93.0,-100.0,-90.0,-94.0,-74.0
5,LaptopPriority/CurrentPeriodicals,5,-100.0,-92.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.07692307692308,-76.42857142857143,-85.5,-100.0,-80.0,-90.0,-92.0,-72.78571428571429
5,MainStairs/TopPicks,1,-100.0,-91.0,-74.0,-82.0,-81.5,-86.5,-92.0,-87.0,-100.0,-74.5,-78.23529411764706,-100.0,-88.0,-94.0,-100.0,-100.0,-79.72222222222223
5,MainStairs/TopPicks,2,-84.0,-100.0,-100.0,-88.0,-68.5,-74.5,-95.0,-73.0,-100.0,-82.0909090909091,-83.04347826086956,-93.0,-95.0,-100.0,-97.0,-95.0,-85.85714285714286
5,MainStairs/TopPicks,3,-100.0,-100.0,-100.0,-97.0,-95.0,-95.0,-92.0,-94.0,-100.0,-74.85714285714286,-78.94117647058823,-94.0,-91.0,-100.0,-100.0,-100.0,-80.5
5,MainStairs/TopPicks,4,-100.0,-94.0,-77.0,-82.0,-78.5,-82.5,-97.0,-82.0,-74.0,-73.33333333333333,-77.28571428571429,-100.0,-93.0,-100.0,-92.0,-91.0,-76.57142857142857
5,MainStairs/TopPicks,5,-100.0,-100.0,-77.0,-83.0,-80.0,-84.0,-94.0,-81.0,-100.0,-73.4,-76.83333333333333,-100.0,-100.0,-100.0,-93.0,-93.0,-75.58333333333333
5,Stairs/RightEnd,1,-88.0,-100.0,-100.0,-100.0,-91.0,-88.5,-100.0,-87.5,-100.0,-84.93333333333334,-87.125,-89.0,-100.0,-100.0,-100.0,-100.0,-87.94444444444444
5,Stairs/RightEnd,2,-100.0,-100.0,-100.0,-100.0,-84.5,-72.0,-100.0,-75.5,-100.0,-87.0,-90.41666666666667,-97.0,-88.0,-91.0,-89.0,-89.0,-89.38461538461539
5,Stairs/RightEnd,3,-92.0,-97.0,-100.0,-100.0,-85.5,-93.5,-100.0,-92.5,-100.0,-88.53846153846153,-91.27777777777777,-100.0,-100.0,-96.0,-91.0,-89.0,-90.52941176470588
5,Stairs/RightEnd,4,-100.0,-88.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.63636363636364,-87.3,-90.0,-100.0,-95.0,-81.5,-80.5,-87.92857142857143
5,Stairs/RightEnd,5,-100.0,-97.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0,-84.0,-89.58333333333333,-100.0,-100.0,-100.0,-79.0,-79.0,-90.25
5,TopPicks/Audiovisual,1,-100.0,-100.0,-100.0,-94.0,-81.5,-75.0,-100.0,-81.5,-100.0,-77.94736842105263,-77.5,-100.0,-100.0,-100.0,-100.0,-100.0,-80.22222222222223
5,TopPicks/Audiovisual,2,-100.0,-100.0,-100.0,-96.0,-81.5,-79.0,-100.0,-87.0,-100.0,-75.0,-76.78571428571429,-100.0,-100.0,-94.0,-100.0,-100.0,-75.23076923076923
5,TopPicks/Audiovisual,3,-100.0,-100.0,-100.0,-95.0,-79.0,-79.5,-100.0,-80.0,-100.0,-71.0,-74.83333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-73.9090909090909
5,TopPicks/Audiovisual,4,-100.0,-100.0,-100.0,-100.0,-86.0,-84.5,-97.0,-85.5,-100.0,-68.45454545454545,-74.35714285714286,-100.0,-94.0,-100.0,-86.0,-86.0,-73.53846153846153
5,TopPicks/Audiovisual,5,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-95.0,-87.0,-100.0,-72.9,-75.38461538461539,-100.0,-100.0,-100.0,-100.0,-100.0,-75.25
6,Hallway/LeftEnd,1,-69.0,-91.0,-100.0,-100.0,-88.5,-87.5,-92.0,-86.5,-100.0,-83.27272727272727,-86.53333333333333,-93.0,-87.0,-89.0,-72.0,-85.0,-85.07142857142857
6,Hallway/LeftEnd,2,-100.0,-100.0,-100.0,-100.0,-88.0,-92.0,-100.0,-91.5,-100.0,-84.125,-83.42857142857143,-100.0,-100.0,-100.0,-100.0,-100.0,-85.53333333333333
6,Hallway/LeftEnd,3,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-78.5,-100.0,-80.23076923076923,-81.0,-95.0,-94.0,-100.0,-100.0,-100.0,-80.33333333333333
6,Hallway/LeftEnd,4,-100.0,-100.0,-87.0,-100.0,-86.0,-85.5,-100.0,-85.5,-100.0,-83.5,-85.38888888888889,-100.0,-100.0,-100.0,-100.0,-100.0,-87.47619047619048
6,Hallway/LeftEnd,5,-94.0,-100.0,-92.0,-100.0,-92.0,-83.0,-100.0,-89.5,-100.0,-89.44444444444444,-89.66666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-89.55555555555556
6,LaptopPriority/CurrentPeriodicals,1,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-96.0,-100.0,-100.0,-79.16666666666667,-79.05555555555556,-89.0,-100.0,-96.0,-95.0,-96.0,-82.64
6,LaptopPriority/CurrentPeriodicals,2,-100.0,-95.0,-100.0,-88.0,-100.0,-100.0,-92.0,-100.0,-100.0,-74.21428571428571,-74.0,-90.0,-91.0,-89.0,-100.0,-100.0,-80.0625
6,LaptopPriority/CurrentPeriodicals,3,-100.0,-96.0,-100.0,-91.0,-100.0,-100.0,-91.0,-100.0,-100.0,-75.47058823529412,-74.6,-92.0,-91.0,-100.0,-88.0,-88.0,-75.5625
6,LaptopPriority/CurrentPeriodicals,4,-100.0,-88.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-75.84615384615384,-85.0,-93.0,-100.0,-94.0,-94.0,-79.53333333333333
6,LaptopPriority/CurrentPeriodicals,5,-100.0,-91.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.60714285714286,-77.73333333333333,-86.0,-100.0,-80.0,-72.0,-77.0,-76.5625
6,MainStairs/TopPicks,1,-100.0,-91.0,-74.0,-82.0,-72.0,-85.0,-96.0,-79.0,-100.0,-73.57142857142857,-76.4375,-100.0,-88.0,-94.0,-100.0,-100.0,-77.625
6,MainStairs/TopPicks,2,-100.0,-100.0,-100.0,-88.0,-65.5,-63.5,-95.0,-64.0,-100.0,-82.25,-84.17391304347827,-100.0,-95.0,-100.0,-97.0,-95.0,-86.89285714285714
6,MainStairs/TopPicks,3,-100.0,-100.0,-100.0,-97.0,-89.0,-88.0,-100.0,-88.0,-100.0,-74.5,-78.25,-94.0,-91.0,-100.0,-100.0,-100.0,-81.8125
6,MainStairs/TopPicks,4,-100.0,-94.0,-77.0,-82.0,-81.5,-82.0,-97.0,-81.5,-100.0,-71.63636363636364,-77.93333333333334,-100.0,-93.0,-100.0,-91.0,-91.0,-76.57142857142857
6,MainStairs/TopPicks,5,-100.0,-100.0,-77.0,-83.0,-81.0,-84.0,-94.0,-81.5,-100.0,-70.0,-74.0,-100.0,-100.0,-100.0,-91.0,-90.0,-74.83333333333333
6,Stairs/RightEnd,1,-88.0,-100.0,-100.0,-100.0,-91.0,-89.5,-100.0,-89.0,-100.0,-86.14285714285714,-88.33333333333333,-89.0,-100.0,-100.0,-100.0,-100.0,-88.27777777777777
